1961 rows, 80 jobs, as of 2026-09-02

job                                         runs  window  stages  gated  REGR
advertiser_high                                1       0       7      0     0
advertiser_ipv6_select                         1       0      10      0     0
advertiser_join                                1       0       5      0     0
advertiser_mid                                 1       0      12      0     0
advertiser_score_distribution_monitor          1       0      20      0     0
advertiser_vertical_scoring_eligible           1       0       2      0     0
audience_intent_scoring_staging_ds46           2       1      15      0     0
aug_log_ip                                     1       0       4      0     0
aug_log_ip_hourly                             24      23      10     20     0
aug_log_ip_vertical_id                         1       0       4      0     0
aug_log_ip_vertical_id_hourly                 24      23      24     48     0
cil_ip                                         1       0       3      0     0
conv_log_derived_ip                            1       0       4      0     0
conv_log_derived_ip_vertical_id                1       0       5      0     0
conv_log_ip                                    1       0       8      0     0
conv_log_ip_advertiser_id                      1       0      11      0     0
conversion_log_advertiser_id_dsc_id            1       0      16      0     0
core_advertiser_id                             1       0       6      0     0
core_campaign_group_id                         1       0       4      0     0
core_campaign_id                               1       0       2      0     0
core_derived_campaign_group_id                 1       0      42      0     0
core_derived_campaign_id                       1       0      49      0     0
fangorn_household_predictions_vertical         1       0      11      0     0
fangorn_predictions_vertical                   1       0      12      0     0
fangorn_prospecting_scoring                    1       0      13      0     0
fangorn_score_monitor                          1       0      22      0     0
guid_and_conv_log_derived_advertiser_id_ds     1       0      48      0     0
guid_conv_log_pivot_ip_vertical_id             1       0      15      0     0
guid_log_advertiser_id_dsc_id                  1       0      16      0     0
guid_log_derived_household_id_vertical_id      1       0      17      0     0
guid_log_derived_ip_vertical_id                1       0       5      0     0
guid_log_generic_penalty_derived_advertise     1       0      14      0     0
guid_log_ip                                    1       0       8      0     0
guid_log_ip_advertiser_id                      1       0       8      0     0
guid_log_ip_guid_advertiser_id                 1       0       8      0     0
guid_log_pivot_household_id_vertical_id        1       0      14      0     0
guid_log_pivot_ip_vertical_id                  1       0      14      0     0
hh_advertiser_verticals                        1       0       1      0     0
hh_fangorn_monitor_geo                         1       0      14      0     0
hh_fangorn_prospecting_scoring                 1       0      10      0     0
hh_page_views                                  1       0      14      0     0
hh_prospecting_active_campaign_categories      1       0       1      0     0
hh_vertical_high                               1       0       1      0     0
hhdsc_ds_13                                    1       0      16      0     0
hhdsc_ds_19                                    1       0      15      0     0
identity_targeted_signal                       1       0       6      0     0
ipdsc_14_monitor                               1       0      24      0     0
ipdsc_42_monitor                               1       0      20      0     0
ipdsc_46_monitor                               1       0      24      0     0
ipdsc_49_monitor                               1       0      24      0     0
ipdsc_ds_13                                    1       0       4      0     0
ipdsc_ds_14                                    1       0       4      0     0
ipdsc_ds_16                                    1       0       4      0     0
ipdsc_ds_17                                    1       0       7      0     0
ipdsc_ds_18                                    1       0       2      0     0
ipdsc_ds_19                                    1       0       3      0     0
ipdsc_ds_2                                     1       0       4      0     0
ipdsc_ds_35                                    1       0       4      0     0
ipdsc_ds_42                                    1       0       6      0     0
ipdsc_ds_46                                    1       0       4      0     0
ipdsc_ds_47                                    1       0       6      0     0
ipdsc_ds_49                                    1       0       4      0     0
ipdsc_ds_63                                    1       0       6      0     0
ipdsc_ds_67                                    1       0      17      0     0
ipdsc_ds_8                                     1       0       1      0     0
ipdsc_ds_9                                     1       0       4      0     0
ipdsc_third_party_audience_builder             1       0      27      0     0
prospecting_join                               1       0      33      0     0
salesforce_advertiser_id                       1       0       7      0     0
sentiment_advertiser_id                        1       0       7      0     0
site_network_hourly                           10       9      26     52     0
site_visit_signal_advertiser_id_dsc_id         1       0      10      0     0
site_visit_signal_derived_advertiser_id_ds     1       0      32      0     0
summary_advertiser_id                          1       0       7      0     0
summary_campaign_group_id                      1       0       7      0     0
summary_campaign_id                            1       0       7      0     0
tpa_export_enrich                              1       0       5      0     0
tpa_mntn_id_export                             1       0      12      0     0
vertical_size_monitor                          1       0      26      0     0
win_logs_ip                                    1       0       5      0     0

jobs with a newest run: 80
jobs with at least one gated stage (>= 5 window runs): 3
jobs the publisher would file a regression for: 0
ledger rows it would write: 0
