feature,source,gain,weight,cover,composite_rank,mean_abs_shap,tag,category
ci_total_cost,cost_impression_log,33.36328125,1247.0,3138.710205078125,6.0,0.36325625,EXISTING,Pre-Visit
al_avg_segments,augmentor_log,312.6009521484375,1127.0,2128.724609375,6.666666666666667,0.985512,EXISTING,Pre-Visit
ci_pct_rtc,cost_impression_log,47.0793571472168,682.0,2487.19140625,8.0,0.39213502,EXISTING,Pre-Visit
ci_pct_new,cost_impression_log,123.90099334716795,831.0,1871.4464111328125,8.333333333333334,0.6702513,EXISTING,Pre-Visit
ci_hh_score,cost_impression_log,35.468727111816406,579.0,1918.03515625,11.0,0.15164435,EXISTING,Pre-Visit
ci_n_imp,cost_impression_log,61.31069564819336,127.0,2929.24169921875,13.333333333333334,0.07819089,EXISTING,Pre-Visit
n_win_adv,base,39.466217041015625,526.0,1668.4512939453125,13.666666666666666,0.17510512,EXISTING,Pre-Visit
ci_adv_hh_score,cost_impression_log,29.212921142578125,234.0,5102.3115234375,15.0,0.0358699,EXISTING,Pre-Visit
n_wins,base,23.602832794189453,369.0,990.851806640625,29.666666666666668,0.0698629,EXISTING,Pre-Visit
wl_avg_price,win_logs,31.866031646728516,1508.0,2668.287841796875,7.666666666666667,0.23106067,NEW,Pre-Visit
wl_n_models,win_logs,307.67694091796875,242.0,2777.016357421875,9.0,0.20546988,NEW,Pre-Visit
al_n_auctions,augmentor_log,33.12596130371094,713.0,1719.3770751953125,13.0,0.22783892,NEW,Pre-Visit
wl_pauses,win_logs,35.77368927001953,26.0,5650.123046875,17.0,0.002845479,NEW,Pre-Visit
bae_lg,bidder_auction_events,34.12466049194336,34.0,2990.428955078125,18.0,0.006709999,NEW,Pre-Visit
al_n_domains,augmentor_log,31.67669105529785,262.0,1665.00439453125,18.333333333333332,0.050736427,NEW,Pre-Visit
bae_n_auctions,bidder_auction_events,27.83892059326172,316.0,1864.7528076171875,19.666666666666668,0.05594989,NEW,Pre-Visit
ci_pct_video,cost_impression_log,30.57279586791992,223.0,1734.1016845703125,20.333333333333332,0.0714853,NEW,Pre-Visit
bae_pct_news,bidder_auction_events,29.854028701782227,125.0,2332.585205078125,21.666666666666668,0.022939282,NEW,Pre-Visit
bae_pct_ent,bidder_auction_events,27.307950973510746,181.0,2396.142333984375,21.833333333333332,0.031301875,NEW,Pre-Visit
wl_n_makes,win_logs,47.83404922485352,165.0,1283.6790771484375,22.0,0.052975025,NEW,Pre-Visit
al_pct_iab,augmentor_log,27.90260887145996,499.0,1422.8062744140625,22.333333333333332,0.0907105,NEW,Pre-Visit
bae_pct_drama,bidder_auction_events,26.8555965423584,135.0,2583.125,23.0,0.017676162,NEW,Pre-Visit
bae_n_pubs,bidder_auction_events,29.316865921020508,169.0,1710.7261962890625,23.333333333333332,0.035686847,NEW,Pre-Visit
wl_completes,win_logs,30.193693161010746,149.0,1699.5919189453125,23.666666666666668,0.048175666,NEW,Pre-Visit
al_n_ssps,augmentor_log,28.48273277282715,238.0,1486.342041015625,24.333333333333332,0.047993295,NEW,Pre-Visit
al_pct_pmp,augmentor_log,28.193828582763672,341.0,934.0635375976562,25.333333333333332,0.10512948,NEW,Pre-Visit
wl_plays,win_logs,27.876691818237305,181.0,1657.1290283203125,26.166666666666668,0.051590223,NEW,Pre-Visit
bae_n_genres,bidder_auction_events,30.909826278686523,108.0,1562.4832763671875,26.166666666666668,0.031726304,NEW,Pre-Visit
bae_roku,bidder_auction_events,30.74577522277832,52.0,1669.98974609375,26.333333333333332,0.042486142,NEW,Pre-Visit
wl_clicks,win_logs,24.034481048583984,27.0,8607.0146484375,26.333333333333332,0.003817229,NEW,Pre-Visit
bae_pct_sports,bidder_auction_events,23.660364151000977,50.0,4259.16357421875,26.666666666666668,0.007907734,NEW,Pre-Visit
bae_pct_comedy,bidder_auction_events,24.798540115356445,108.0,2493.35791015625,26.833333333333332,0.01450486,NEW,Pre-Visit
bae_pct_genre,bidder_auction_events,27.095888137817383,261.0,1108.9344482421875,27.0,0.055455547,NEW,Pre-Visit
wl_viewable,win_logs,31.050447463989254,76.0,1317.46533203125,28.0,0.03276404,NEW,Pre-Visit
ci_n_vendors,cost_impression_log,25.555072784423828,246.0,1035.1026611328125,29.333333333333332,0.05434718,NEW,Pre-Visit
al_n_networks,augmentor_log,26.259620666503903,307.0,920.9124755859376,29.333333333333332,0.06540477,NEW,Pre-Visit
bae_n_makes,bidder_auction_events,26.18065071105957,53.0,1846.283935546875,29.666666666666668,0.03154516,NEW,Pre-Visit
wl_vcr,win_logs,26.464200973510746,115.0,1491.336181640625,31.0,0.031369407,NEW,Pre-Visit
al_pct_video,augmentor_log,25.389677047729492,233.0,1028.6143798828125,31.333333333333332,0.070516884,NEW,Pre-Visit
al_pct_ctv,augmentor_log,20.74243927001953,219.0,1353.093017578125,32.0,0.037686028,NEW,Pre-Visit
bae_samsung,bidder_auction_events,31.4700984954834,28.0,554.0294189453125,32.333333333333336,0.0057827546,NEW,Pre-Visit
wl_mutes,win_logs,16.2408447265625,7.0,2192.06494140625,34.333333333333336,0.00073890167,NEW,Pre-Visit
wl_measurable,win_logs,19.808761596679688,9.0,922.5400390625,42.0,0.00418184,NEW,Pre-Visit
al_has_ctv,augmentor_log,19.732799530029297,23.0,358.75628662109375,43.0,0.004058042,NEW,Pre-Visit
gl_pct_ip_stable,guid_log,45.81608963012695,1264.0,344.6940612792969,3.0,2.7968745,FEEDBACK,Feedback (Post-Visit)
gl_n_os_families,guid_log,1627.5321044921875,412.0,2056.002197265625,3.6666666666666665,5.2549615,FEEDBACK,Feedback (Post-Visit)
