feature,gain,weight,cover,gain_rank,weight_rank,cover_rank,composite_rank,source
gl_pct_ip_stable,86.68766784667969,676.0,495.7781982421875,3.0,1.0,5.0,3.0,guid_log
gl_n_os_families,2636.138427734375,326.0,2717.609130859375,1.0,7.0,1.0,3.0,guid_log
gl_pct_mobile,46.59443664550781,653.0,507.84088134765625,5.0,2.0,4.0,3.6666666666666665,guid_log
gl_n_browser_families,258.1860046386719,274.0,2030.0396728515625,2.0,11.0,2.0,5.0,guid_log
gl_n_adv,12.627495765686035,425.0,340.0116271972656,8.0,5.0,7.0,6.666666666666667,guid_log
gl_n_events,7.320523262023926,489.0,143.97718811035156,13.0,4.0,13.0,10.0,guid_log
cv_n_conv,11.68448543548584,230.0,136.5252685546875,9.0,14.5,14.0,12.5,conversion_log
gl_pct_new,4.7584309577941895,520.0,324.878173828125,28.0,3.0,8.0,13.0,guid_log
cv_n_orders,14.891928672790527,134.0,267.2794189453125,7.0,26.0,9.0,14.0,conversion_log
cv_total_amt,7.827767372131348,258.0,106.39225006103516,10.0,13.0,21.0,14.666666666666666,conversion_log
cv_n_types,53.469486236572266,56.0,917.4136962890625,4.0,41.0,3.0,16.0,conversion_log
wl_avg_price,4.671560287475586,381.0,124.88397979736328,30.0,6.0,17.0,17.666666666666668,win_logs
cv_avg_amt,5.244674205780029,230.0,109.21784210205078,23.0,14.5,19.0,18.833333333333332,conversion_log
n_wins,7.524487495422363,156.0,91.05191802978516,12.0,21.0,25.0,19.333333333333332,base
al_n_networks,4.781290531158447,152.0,169.2581329345703,27.0,23.0,11.0,20.333333333333332,augmentor_log
wl_n_makes,7.797019958496094,130.0,95.53585052490234,11.0,28.0,23.0,20.666666666666668,win_logs
ci_total_cost,4.388878345489502,321.0,100.85710144042969,34.0,9.0,22.0,21.666666666666668,cost_impression_log
n_win_adv,4.6506876945495605,193.0,117.31352233886719,31.0,16.5,18.0,21.833333333333332,base
gl_has_mobile,45.582427978515625,42.0,135.9081268310547,6.0,45.5,16.0,22.5,guid_log
ci_hh_score,4.934258460998535,158.0,85.25643157958984,26.0,20.0,29.0,25.0,cost_impression_log
bae_n_pubs,4.517167568206787,87.0,224.7359619140625,33.0,34.0,10.0,25.666666666666668,bidder_auction_events
cv_n_adv,7.229501247406006,50.0,88.63191223144531,14.0,42.0,27.0,27.666666666666668,conversion_log
ci_pct_rtc,4.282399654388428,84.0,162.8612518310547,36.0,37.5,12.0,28.5,cost_impression_log
bae_pct_comedy,6.2710041999816895,39.0,108.94200897216797,18.0,48.0,20.0,28.666666666666668,bidder_auction_events
bae_pct_sports,5.201439380645752,2.0,430.6446838378906,25.0,58.0,6.0,29.666666666666668,bidder_auction_events
wl_measurable,5.2375311851501465,15.0,135.94528198242188,24.0,50.5,15.0,29.833333333333332,win_logs
ci_n_vendors,4.289300441741943,106.0,92.47138214111328,35.0,31.0,24.0,30.0,cost_impression_log
ci_pct_new,4.078179359436035,325.0,56.25626754760742,40.0,8.0,42.0,30.0,cost_impression_log
wl_n_models,5.329840183258057,85.0,72.58399963378906,22.0,35.5,33.0,30.166666666666668,win_logs
al_avg_segments,4.100667953491211,275.0,54.743499755859375,39.0,10.0,43.0,30.666666666666668,augmentor_log
al_n_ssps,6.2948150634765625,84.0,68.69800567626953,17.0,37.5,38.0,30.833333333333332,augmentor_log
bae_n_genres,6.1653361320495605,40.0,83.20059967041016,19.0,47.0,30.0,32.0,bidder_auction_events
al_pct_iab,4.002840042114258,261.0,52.14775466918945,41.0,12.0,44.0,32.333333333333336,augmentor_log
ci_n_imp,4.554686546325684,85.0,81.53665924072266,32.0,35.5,31.0,32.833333333333336,cost_impression_log
gl_n_product_views,3.6649656295776367,154.0,70.97171020507812,46.0,22.0,34.0,34.0,guid_log
al_pct_video,4.145915985107422,138.0,59.0332145690918,38.0,25.0,41.0,34.666666666666664,augmentor_log
al_n_domains,3.4568586349487305,148.0,80.8199234008789,50.0,24.0,32.0,35.333333333333336,augmentor_log
al_n_auctions,3.841428279876709,183.0,51.106388092041016,44.0,18.5,45.0,35.833333333333336,augmentor_log
bae_pct_genre,4.681345462799072,133.0,45.28276824951172,29.0,27.0,52.0,36.0,bidder_auction_events
bae_pct_ent,3.6434366703033447,116.0,70.56132507324219,47.0,30.0,35.0,37.333333333333336,bidder_auction_events
wl_plays,3.9020583629608154,88.0,69.53156280517578,42.0,33.0,37.0,37.333333333333336,win_logs
