feature,gain,weight,cover,gain_rank,weight_rank,cover_rank,composite_rank,source
gl_pct_ip_stable,45.81608963012695,1264.0,344.6940612792969,3.0,2.0,4.0,3.0,guid_log
gl_n_os_families,1627.5321044921875,412.0,2056.002197265625,1.0,9.0,1.0,3.6666666666666665,guid_log
gl_pct_mobile,26.739030838012695,1297.0,243.5860595703125,6.0,1.0,7.0,4.666666666666667,guid_log
gl_n_browser_families,733.9747314453125,348.0,1347.401611328125,2.0,11.0,2.0,5.0,guid_log
gl_n_adv,9.678173065185547,881.0,315.32110595703125,8.0,5.0,6.0,6.333333333333333,guid_log
cv_n_types,38.86471939086914,94.0,391.9550476074219,5.0,14.0,3.0,7.333333333333333,conversion_log
gl_n_events,7.398856163024902,970.0,184.96653747558594,10.0,4.0,9.0,7.666666666666667,guid_log
cv_n_orders,10.695409774780273,281.0,327.5185852050781,7.0,12.0,5.0,8.0,conversion_log
cv_n_conv,7.878147125244141,410.0,196.2621612548828,9.0,10.0,8.0,9.0,conversion_log
gl_pct_new,4.923789024353027,1147.0,154.6687774658203,13.0,3.0,11.0,9.0,guid_log
gl_has_mobile,40.28221130371094,59.0,175.68695068359375,4.0,15.0,10.0,9.666666666666666,guid_log
cv_total_amt,6.19766902923584,557.0,117.16731262207031,11.0,7.0,12.0,10.0,conversion_log
cv_avg_amt,4.50193452835083,619.0,100.42505645751953,14.0,6.0,14.0,11.333333333333334,conversion_log
cv_n_adv,5.758934497833252,142.0,112.18256378173828,12.0,13.0,13.0,12.666666666666666,conversion_log
gl_n_product_views,3.819537878036499,423.0,63.598506927490234,16.0,8.0,16.0,13.333333333333334,guid_log
gl_has_tablet,3.833632469177246,54.0,81.00527954101562,15.0,16.0,15.0,15.333333333333334,guid_log
gl_has_new_visit,2.7894773483276367,32.0,23.597692489624023,17.0,17.0,17.0,17.0,guid_log
gl_has_desktop,0.0,0.0,0.0,18.5,18.5,18.5,18.5,guid_log
gl_n_utm_events,0.0,0.0,0.0,18.5,18.5,18.5,18.5,guid_log
