feature,gain,weight,cover,gain_rank,weight_rank,cover_rank,composite_rank,source
ci_total_cost,33.36328125,1247.0,3138.710205078125,11.0,2.0,5.0,6.0,cost_impression_log
al_avg_segments,312.6009521484375,1127.0,2128.724609375,1.0,3.0,16.0,6.666666666666667,augmentor_log
wl_avg_price,31.866031646728516,1508.0,2668.287841796875,13.0,1.0,9.0,7.666666666666667,win_logs
ci_pct_rtc,47.0793571472168,682.0,2487.19140625,6.0,6.0,12.0,8.0,cost_impression_log
ci_pct_new,123.90099334716797,831.0,1871.4464111328125,3.0,4.0,18.0,8.333333333333334,cost_impression_log
wl_n_models,307.67694091796875,242.0,2777.016357421875,2.0,17.0,8.0,9.0,win_logs
ci_hh_score,35.468727111816406,579.0,1918.03515625,9.0,7.0,17.0,11.0,cost_impression_log
al_n_auctions,33.12596130371094,713.0,1719.3770751953125,12.0,5.0,22.0,13.0,augmentor_log
ci_n_imp,61.31069564819336,127.0,2929.24169921875,4.0,29.0,7.0,13.333333333333334,cost_impression_log
n_win_adv,39.466217041015625,526.0,1668.4512939453125,7.0,8.0,26.0,13.666666666666666,base
ci_adv_hh_score,29.212921142578125,234.0,5102.3115234375,23.0,19.0,3.0,15.0,cost_impression_log
wl_pauses,35.77368927001953,26.0,5650.123046875,8.0,41.0,2.0,17.0,win_logs
bae_lg,34.12466049194336,34.0,2990.428955078125,10.0,38.0,6.0,18.0,bidder_auction_events
al_n_domains,31.67669105529785,262.0,1665.00439453125,14.0,14.0,27.0,18.333333333333332,augmentor_log
bae_n_auctions,27.83892059326172,316.0,1864.7528076171875,28.0,12.0,19.0,19.666666666666668,bidder_auction_events
ci_pct_video,30.572795867919922,223.0,1734.1016845703125,19.0,21.0,21.0,20.333333333333332,cost_impression_log
bae_pct_news,29.854028701782227,125.0,2332.585205078125,21.0,30.0,14.0,21.666666666666668,bidder_auction_events
bae_pct_ent,27.307950973510742,181.0,2396.142333984375,29.0,23.5,13.0,21.833333333333332,bidder_auction_events
wl_n_makes,47.834049224853516,165.0,1283.6790771484375,5.0,26.0,35.0,22.0,win_logs
al_pct_iab,27.90260887145996,499.0,1422.8062744140625,26.0,9.0,32.0,22.333333333333332,augmentor_log
bae_pct_drama,26.8555965423584,135.0,2583.125,31.0,28.0,10.0,23.0,bidder_auction_events
bae_n_pubs,29.316865921020508,169.0,1710.7261962890625,22.0,25.0,23.0,23.333333333333332,bidder_auction_events
wl_completes,30.193693161010742,149.0,1699.5919189453125,20.0,27.0,24.0,23.666666666666668,win_logs
al_n_ssps,28.48273277282715,238.0,1486.342041015625,24.0,18.0,31.0,24.333333333333332,augmentor_log
al_pct_pmp,28.193828582763672,341.0,934.0635375976562,25.0,11.0,40.0,25.333333333333332,augmentor_log
wl_plays,27.876691818237305,181.0,1657.1290283203125,27.0,23.5,28.0,26.166666666666668,win_logs
bae_n_genres,30.909826278686523,108.0,1562.4832763671875,17.0,32.5,29.0,26.166666666666668,bidder_auction_events
bae_roku,30.74577522277832,52.0,1669.98974609375,18.0,36.0,25.0,26.333333333333332,bidder_auction_events
wl_clicks,24.034481048583984,27.0,8607.0146484375,38.0,40.0,1.0,26.333333333333332,win_logs
bae_pct_sports,23.660364151000977,50.0,4259.16357421875,39.0,37.0,4.0,26.666666666666668,bidder_auction_events
bae_pct_comedy,24.798540115356445,108.0,2493.35791015625,37.0,32.5,11.0,26.833333333333332,bidder_auction_events
bae_pct_genre,27.095888137817383,261.0,1108.9344482421875,30.0,15.0,36.0,27.0,bidder_auction_events
wl_viewable,31.050447463989258,76.0,1317.46533203125,16.0,34.0,34.0,28.0,win_logs
ci_n_vendors,25.555072784423828,246.0,1035.1026611328125,35.0,16.0,37.0,29.333333333333332,cost_impression_log
al_n_networks,26.259620666503906,307.0,920.9124755859375,33.0,13.0,42.0,29.333333333333332,augmentor_log
bae_n_makes,26.18065071105957,53.0,1846.283935546875,34.0,35.0,20.0,29.666666666666668,bidder_auction_events
n_wins,23.602832794189453,369.0,990.851806640625,40.0,10.0,39.0,29.666666666666668,base
wl_vcr,26.464200973510742,115.0,1491.336181640625,32.0,31.0,30.0,31.0,win_logs
al_pct_video,25.389677047729492,233.0,1028.6143798828125,36.0,20.0,38.0,31.333333333333332,augmentor_log
al_pct_ctv,20.74243927001953,219.0,1353.093017578125,41.0,22.0,33.0,32.0,augmentor_log
bae_samsung,31.4700984954834,28.0,554.0294189453125,15.0,39.0,43.0,32.333333333333336,bidder_auction_events
wl_mutes,16.2408447265625,7.0,2192.06494140625,44.0,44.0,15.0,34.333333333333336,win_logs
wl_measurable,19.808761596679688,9.0,922.5400390625,42.0,43.0,41.0,42.0,win_logs
al_has_ctv,19.732799530029297,23.0,358.75628662109375,43.0,42.0,44.0,43.0,augmentor_log
wl_skips,0.0,0.0,0.0,46.0,46.0,46.0,46.0,win_logs
wl_viewability,0.0,0.0,0.0,46.0,46.0,46.0,46.0,win_logs
wl_invalid,0.0,0.0,0.0,46.0,46.0,46.0,46.0,win_logs
