feature,shap,source,gain,rank
ci_pct_new,1.7104199,cost_impression_log,1021.9422607421875,1
al_avg_segments,0.4113787,augmentor_log,321.3573913574219,2
n_wins_this_adv,0.3324576,base,149.46893310546875,3
wl_avg_price,0.27254528,win_logs,132.83529663085938,4
ci_total_cost,0.25990096,cost_impression_log,146.40948486328125,5
ci_pct_rtc,0.24277574,cost_impression_log,175.4347686767578,6
wl_n_adv,0.2132832,win_logs,112.24283599853516,7
wl_n_wins,0.20390695,win_logs,92.2476806640625,8
ci_hh_score,0.17382057,cost_impression_log,138.32777404785156,9
al_pct_pmp,0.13262816,augmentor_log,104.5831527709961,10
al_n_auctions,0.12689348,augmentor_log,117.36328125,11
bae_pct_genre,0.118933976,bidder_auction_events,111.83480072021484,12
al_pct_ctv,0.11058374,augmentor_log,109.98851013183594,13
ci_pct_video,0.107004136,cost_impression_log,123.9894027709961,14
al_pct_iab,0.10423921,augmentor_log,115.39912414550781,15
al_pct_video,0.10029523,augmentor_log,124.87757110595703,16
wl_plays,0.10004528,win_logs,103.54132080078125,17
al_n_domains,0.09480031,augmentor_log,116.80644989013672,18
al_n_networks,0.09331348,augmentor_log,115.84725952148438,19
n_cgs_this_adv,0.088038884,base,98.53025817871094,20
al_n_ssps,0.08260081,augmentor_log,128.62515258789062,21
wl_n_models,0.08128742,win_logs,141.8936004638672,22
bae_n_genres,0.07701167,bidder_auction_events,100.4505615234375,23
bae_n_auctions,0.07055329,bidder_auction_events,134.70167541503906,24
bae_n_pubs,0.06893058,bidder_auction_events,134.3858642578125,25
bae_pct_ent,0.068237655,bidder_auction_events,119.95128631591797,26
ci_n_imp,0.06685455,cost_impression_log,127.78494262695312,27
bae_pct_comedy,0.06338832,bidder_auction_events,105.95857238769531,28
wl_viewable,0.05982807,win_logs,107.98674011230469,29
bae_pct_news,0.05636628,bidder_auction_events,115.05535125732422,30
ci_n_vendors,0.05625314,cost_impression_log,99.69097137451172,31
wl_completes,0.050597493,win_logs,137.8488311767578,32
wl_n_makes,0.049237143,win_logs,91.28152465820312,33
bae_pct_drama,0.04532083,bidder_auction_events,104.67644500732422,34
bae_n_makes,0.037699874,bidder_auction_events,101.2964096069336,35
wl_vcr,0.032466136,win_logs,101.35610961914062,36
bae_pct_sports,0.021126743,bidder_auction_events,103.01951599121094,37
bae_samsung,0.01753767,bidder_auction_events,121.97208404541016,38
al_has_ctv,0.01300193,augmentor_log,117.35910034179688,39
bae_roku,0.011359975,bidder_auction_events,135.08090209960938,40
bae_lg,0.011021989,bidder_auction_events,138.47833251953125,41
wl_mutes,0.0060288874,win_logs,75.49031066894531,42
wl_pauses,0.005896873,win_logs,95.22978210449219,43
wl_clicks,0.0048339935,win_logs,75.63550567626953,44
