feature,scoped_shap,scoped_rank,source,unscoped_shap,unscoped_rank,rank_change
ci_pct_new,1.7104199,1,cost_impression_log,0.6702513,2.0,1.0
al_avg_segments,0.4113787,2,augmentor_log,0.985512,1.0,-1.0
n_wins_this_adv,0.3324576,3,base,,,
wl_avg_price,0.27254528,4,win_logs,0.23106067,5.0,1.0
ci_total_cost,0.25990096,5,cost_impression_log,0.36325625,4.0,-1.0
ci_pct_rtc,0.24277574,6,cost_impression_log,0.39213502,3.0,-3.0
wl_n_adv,0.2132832,7,win_logs,,,
wl_n_wins,0.20390695,8,win_logs,,,
ci_hh_score,0.17382057,9,cost_impression_log,0.15164435,9.0,0.0
al_pct_pmp,0.13262816,10,augmentor_log,0.10512948,10.0,0.0
al_n_auctions,0.12689348,11,augmentor_log,0.22783892,6.0,-5.0
bae_pct_genre,0.118933976,12,bidder_auction_events,0.055455547,18.0,6.0
al_pct_ctv,0.11058374,13,augmentor_log,0.037686028,26.0,13.0
ci_pct_video,0.107004136,14,cost_impression_log,0.0714853,13.0,-1.0
al_pct_iab,0.10423921,15,augmentor_log,0.0907105,11.0,-4.0
al_pct_video,0.10029523,16,augmentor_log,0.070516884,14.0,-2.0
wl_plays,0.10004528,17,win_logs,0.051590223,21.0,4.0
al_n_domains,0.09480031,18,augmentor_log,0.050736427,22.0,4.0
al_n_networks,0.09331348,19,augmentor_log,0.06540477,16.0,-3.0
n_cgs_this_adv,0.088038884,20,base,,,
al_n_ssps,0.08260081,21,augmentor_log,0.047993295,24.0,3.0
wl_n_models,0.08128742,22,win_logs,0.20546988,7.0,-15.0
bae_n_genres,0.07701167,23,bidder_auction_events,0.031726304,30.0,7.0
bae_n_auctions,0.07055329,24,bidder_auction_events,0.05594989,17.0,-7.0
bae_n_pubs,0.06893058,25,bidder_auction_events,0.035686847,28.0,3.0
bae_pct_ent,0.068237655,26,bidder_auction_events,0.031301875,33.0,7.0
ci_n_imp,0.06685455,27,cost_impression_log,0.07819089,12.0,-15.0
bae_pct_comedy,0.06338832,28,bidder_auction_events,0.01450486,36.0,8.0
wl_viewable,0.05982807,29,win_logs,0.03276404,29.0,0.0
bae_pct_news,0.05636628,30,bidder_auction_events,0.022939282,34.0,4.0
ci_n_vendors,0.05625314,31,cost_impression_log,0.05434718,19.0,-12.0
wl_completes,0.050597493,32,win_logs,0.048175666,23.0,-9.0
wl_n_makes,0.049237143,33,win_logs,0.052975025,20.0,-13.0
bae_pct_drama,0.04532083,34,bidder_auction_events,0.017676162,35.0,1.0
bae_n_makes,0.037699874,35,bidder_auction_events,0.03154516,31.0,-4.0
wl_vcr,0.032466136,36,win_logs,0.031369407,32.0,-4.0
bae_pct_sports,0.021126743,37,bidder_auction_events,0.007907734,37.0,0.0
bae_samsung,0.01753767,38,bidder_auction_events,0.0057827546,39.0,1.0
al_has_ctv,0.01300193,39,augmentor_log,0.004058042,41.0,2.0
bae_roku,0.011359975,40,bidder_auction_events,0.042486142,25.0,-15.0
bae_lg,0.011021989,41,bidder_auction_events,0.006709999,38.0,-3.0
wl_mutes,0.0060288874,42,win_logs,0.00073890167,44.0,2.0
wl_pauses,0.005896873,43,win_logs,0.002845479,43.0,0.0
wl_clicks,0.0048339935,44,win_logs,0.003817229,42.0,-2.0
