feature,mean_abs_shap
al_avg_segments,0.985512
ci_pct_new,0.6702513
ci_pct_rtc,0.39213502
ci_total_cost,0.36325625
wl_avg_price,0.23106067
al_n_auctions,0.22783892
wl_n_models,0.20546988
n_win_adv,0.17510512
ci_hh_score,0.15164435
al_pct_pmp,0.10512948
al_pct_iab,0.0907105
ci_n_imp,0.07819089
ci_pct_video,0.0714853
al_pct_video,0.070516884
n_wins,0.0698629
al_n_networks,0.06540477
bae_n_auctions,0.05594989
bae_pct_genre,0.055455547
ci_n_vendors,0.05434718
wl_n_makes,0.052975025
wl_plays,0.051590223
al_n_domains,0.050736427
wl_completes,0.048175666
al_n_ssps,0.047993295
bae_roku,0.042486142
al_pct_ctv,0.037686028
ci_adv_hh_score,0.0358699
bae_n_pubs,0.035686847
wl_viewable,0.03276404
bae_n_genres,0.031726304
bae_n_makes,0.03154516
wl_vcr,0.031369407
bae_pct_ent,0.031301875
bae_pct_news,0.022939282
bae_pct_drama,0.017676162
bae_pct_comedy,0.01450486
bae_pct_sports,0.007907734
bae_lg,0.006709999
bae_samsung,0.0057827546
wl_measurable,0.00418184
al_has_ctv,0.004058042
wl_clicks,0.003817229
wl_pauses,0.002845479
wl_mutes,0.00073890167
wl_viewability,0.0
wl_skips,0.0
wl_invalid,0.0
