feature,gain,weight,cover,gain_rank,weight_rank,cover_rank,composite_rank,source
ci_pct_new,1660.397705078125,656.0,9898.462890625,1.0,2.0,19.0,7.333333333333333,cost_impression_log
bae_n_pubs,260.2330627441406,496.0,15804.4345703125,21.0,5.0,7.0,11.0,bidder_auction_events
cv_n_adv_30d,457.057861328125,316.0,10134.1435546875,5.0,14.0,17.0,12.0,conv_log (IP grain)
ci_total_cost,326.2838134765625,362.0,12077.056640625,11.0,12.0,14.0,12.333333333333334,cost_impression_log
ci_pct_rtc,457.6549377441406,156.0,17264.126953125,4.0,33.0,4.0,13.666666666666666,cost_impression_log
cv_days_since_last,364.64404296875,198.0,13382.9140625,6.0,25.0,11.0,14.0,conv_log (IP grain)
cv_max_amt_30d,460.45733642578125,442.0,8010.75146484375,3.0,9.0,31.0,14.333333333333334,conv_log (IP grain)
bae_pct_genre,300.2901306152344,562.0,8890.7216796875,14.0,4.0,26.0,14.666666666666666,bidder_auction_events
cvp_n_conv_30d,502.05706787109375,477.0,7230.81982421875,2.0,8.0,36.0,15.333333333333334,"conv_log (IP, adv pair)"
bae_n_auctions,289.67236328125,495.0,8790.0595703125,15.0,6.0,27.0,16.0,bidder_auction_events
ci_n_imp,309.3411560058594,116.0,20139.05078125,12.0,35.0,3.0,16.666666666666668,cost_impression_log
cv_usd_amt_14d,265.7456970214844,295.0,11395.037109375,20.0,15.5,15.0,16.833333333333332,conv_log (IP grain)
ci_adv_hh_score,343.35107421875,92.0,17143.935546875,8.0,38.0,5.0,17.0,cost_impression_log
wl_avg_price,267.29644775390625,585.0,7666.51806640625,19.0,3.0,34.0,18.666666666666668,win_logs
cv_n_orders_30d,286.9083251953125,187.0,12797.2216796875,16.0,27.0,13.0,18.666666666666668,conv_log (IP grain)
cv_total_amt_30d,351.6192321777344,60.0,14296.201171875,7.0,41.0,9.0,19.0,conv_log (IP grain)
wl_completes,272.2939758300781,168.0,13608.10546875,17.0,30.5,10.0,19.166666666666668,win_logs
cv_avg_amt_30d,255.71466064453125,400.0,7914.76123046875,22.0,11.0,33.0,22.0,conv_log (IP grain)
cv_usd_amt_30d,252.1895294189453,240.0,9131.572265625,23.0,23.5,23.0,23.166666666666668,conv_log (IP grain)
cv_mobile_30d,268.057861328125,117.0,9936.50390625,18.0,34.0,18.0,23.333333333333332,conv_log (IP grain)
wl_plays,182.10028076171875,343.0,9857.595703125,40.0,13.0,20.0,24.333333333333332,win_logs
wl_clicks,217.71121215820312,43.0,25859.267578125,29.0,43.0,2.0,24.666666666666668,win_logs
cv_mobile_flag_30d,329.0177001953125,63.0,9031.357421875,10.0,40.0,24.0,24.666666666666668,conv_log (IP grain)
bae_n_makes,194.7090301513672,279.0,9267.6787109375,35.0,19.0,21.0,25.0,bidder_auction_events
cv_tablet_30d,234.9651641845703,103.0,13070.2109375,26.0,37.0,12.0,25.0,conv_log (IP grain)
cv_usd_amt_7d,228.51904296875,240.0,9000.5087890625,27.0,23.5,25.0,25.166666666666668,conv_log (IP grain)
cv_n_conv_30d,247.5253143310547,164.0,9238.609375,24.0,32.0,22.0,26.0,conv_log (IP grain)
ci_pct_video,225.2016143798828,295.0,6686.30517578125,28.0,15.5,37.0,26.833333333333332,cost_impression_log
cv_n_conv_14d,304.8486022949219,171.0,5643.14453125,13.0,28.0,40.0,27.0,conv_log (IP grain)
wl_n_models,199.29042053222656,290.0,8005.29150390625,34.0,17.0,32.0,27.666666666666668,win_logs
wl_n_makes,173.380615234375,195.0,10380.6943359375,41.0,26.0,16.0,27.666666666666668,win_logs
wl_pauses,187.32138061523438,41.0,28082.234375,38.0,44.0,1.0,27.666666666666668,win_logs
wl_mutes,161.63531494140625,107.0,16239.59765625,43.0,36.0,6.0,28.333333333333332,win_logs
ci_hh_score,240.1765594482422,282.0,4347.70556640625,25.0,18.0,44.0,29.0,cost_impression_log
cv_n_conv_7d,212.8523406982422,241.0,7654.2099609375,30.0,22.0,35.0,29.0,conv_log (IP grain)
wl_n_adv,167.71519470214844,486.0,6264.78271484375,42.0,7.0,39.0,29.333333333333332,win_logs
wl_n_wins,113.9876708984375,735.0,4839.8369140625,47.0,1.0,42.0,30.0,win_logs
cvp_days_since_last,190.43423461914062,412.0,3157.745361328125,36.0,10.0,45.0,30.333333333333332,"conv_log (IP, adv pair)"
wl_vcr,200.92776489257812,264.0,5115.2119140625,32.0,20.0,41.0,31.0,win_logs
ci_n_vendors,200.43443298339844,168.0,8315.1298828125,33.0,30.5,30.0,31.166666666666668,cost_impression_log
bae_samsung,331.1196594238281,24.0,2596.033935546875,9.0,46.0,46.0,33.666666666666664,bidder_auction_events
wl_measurable,139.99742126464844,12.0,14321.55078125,45.0,48.0,8.0,33.666666666666664,win_logs
cv_n_sources_30d,190.2796630859375,53.0,8353.02734375,37.0,42.0,29.0,36.0,conv_log (IP grain)
wl_viewable,148.6597442626953,64.0,8508.728515625,44.0,39.0,28.0,37.0,win_logs
cvp_usd_amt_30d,69.7972183227539,261.0,976.4990234375,48.0,21.0,48.0,39.0,"conv_log (IP, adv pair)"
cv_n_types_30d,135.51434326171875,170.0,4592.85400390625,46.0,29.0,43.0,39.333333333333336,conv_log (IP grain)
bae_lg,186.5953826904297,35.0,6507.64306640625,39.0,45.0,38.0,40.666666666666664,bidder_auction_events
bae_roku,212.5583953857422,16.0,1684.5487060546875,31.0,47.0,47.0,41.666666666666664,bidder_auction_events
cv_desktop_30d,0.0,0.0,0.0,49.0,49.0,49.0,49.0,conv_log (IP grain)
