feature,gain,weight,cover,gain_rank,weight_rank,cover_rank,composite_rank,source
cv_max_amt_30d,488.26580810546875,1076.0,10977.466796875,3.0,1.0,7.0,3.6666666666666665,conv_log (IP grain)
cv_n_adv_30d,612.2776489257812,1020.0,9700.873046875,1.0,3.0,13.0,5.666666666666667,conv_log (IP grain)
cv_days_since_last,212.68406677246094,615.0,17777.201171875,9.0,8.0,2.0,6.333333333333333,conv_log (IP grain)
cv_n_orders_30d,309.9018249511719,541.0,11968.0673828125,4.0,12.0,4.0,6.666666666666667,conv_log (IP grain)
cv_n_conv_14d,222.35153198242188,604.0,11115.3017578125,8.0,9.0,5.0,7.333333333333333,conv_log (IP grain)
cv_usd_amt_14d,188.8013916015625,748.0,12432.0498046875,12.0,7.0,3.0,7.333333333333333,conv_log (IP grain)
cv_usd_amt_30d,242.59059143066406,920.0,10122.3359375,6.0,4.0,12.0,7.333333333333333,conv_log (IP grain)
cv_avg_amt_30d,180.43780517578125,1029.0,10617.2763671875,15.0,2.0,9.0,8.666666666666666,conv_log (IP grain)
cv_n_conv_30d,189.99917602539062,592.0,11000.5146484375,11.0,11.0,6.0,9.333333333333334,conv_log (IP grain)
cv_mobile_flag_30d,252.43128967285156,316.0,10631.279296875,5.0,17.0,8.0,10.0,conv_log (IP grain)
cv_usd_amt_7d,183.49720764160156,864.0,9556.822265625,14.0,5.0,14.0,11.0,conv_log (IP grain)
cvp_n_conv_30d,588.3762817382812,533.0,7367.240234375,2.0,13.0,18.0,11.0,"conv_log (IP, adv pair)"
cv_total_amt_30d,226.99917602539062,196.0,10257.28125,7.0,19.0,10.0,12.0,conv_log (IP grain)
cv_mobile_30d,198.4939422607422,352.0,10205.82421875,10.0,16.0,11.0,12.333333333333334,conv_log (IP grain)
cv_tablet_30d,134.51666259765625,212.0,19191.74609375,19.0,18.0,1.0,12.666666666666666,conv_log (IP grain)
cv_n_conv_7d,141.19207763671875,820.0,7393.92578125,18.0,6.0,16.0,13.333333333333334,conv_log (IP grain)
cvp_days_since_last,155.6187744140625,599.0,2706.327880859375,16.0,10.0,19.0,15.0,"conv_log (IP, adv pair)"
cv_n_sources_30d,187.17190551757812,141.0,9054.5087890625,13.0,20.0,15.0,16.0,conv_log (IP grain)
cv_n_types_30d,141.51280212402344,486.0,7393.76513671875,17.0,14.0,17.0,16.0,conv_log (IP grain)
cvp_usd_amt_30d,89.47467041015625,384.0,1618.95068359375,20.0,15.0,20.0,18.333333333333332,"conv_log (IP, adv pair)"
cv_desktop_30d,0.0,0.0,0.0,21.0,21.0,21.0,21.0,conv_log (IP grain)
