feature,gain,weight,cover,gain_rank,weight_rank,cover_rank,composite_rank,source
ci_pct_new,1166.798583984375,1013.0,11056.0888671875,1.0,1.0,13.0,5.0,cost_impression_log
ci_total_cost,333.0786437988281,556.0,14811.9765625,5.0,8.0,8.0,7.0,cost_impression_log
bae_n_pubs,251.39942932128906,641.0,15414.7724609375,11.0,7.0,7.0,8.333333333333334,bidder_auction_events
ci_pct_rtc,822.85693359375,255.0,17372.689453125,2.0,17.0,6.0,8.333333333333334,cost_impression_log
bae_n_auctions,289.03912353515625,699.0,10590.9814453125,7.0,6.0,14.0,9.0,bidder_auction_events
ci_n_imp,419.1584167480469,170.0,21579.376953125,3.0,20.0,4.0,9.0,cost_impression_log
ci_adv_hh_score,351.39862060546875,159.0,20884.435546875,4.0,21.0,5.0,10.0,cost_impression_log
bae_pct_genre,263.1181640625,842.0,9851.6455078125,10.0,3.0,18.0,10.333333333333334,bidder_auction_events
wl_n_models,244.4259796142578,453.0,13344.2353515625,13.0,11.0,11.0,11.666666666666666,win_logs
wl_completes,268.96075439453125,260.0,13889.880859375,9.0,16.0,10.0,11.666666666666666,win_logs
wl_avg_price,246.4266357421875,744.0,9739.416015625,12.0,5.0,19.0,12.0,win_logs
bae_n_makes,198.39447021484375,423.0,14147.4404296875,18.0,13.0,9.0,13.333333333333334,bidder_auction_events
ci_pct_video,280.1479797363281,432.0,9461.1298828125,8.0,12.0,20.0,13.333333333333334,cost_impression_log
wl_plays,172.49256896972656,455.0,12060.4765625,23.0,10.0,12.0,15.0,win_logs
wl_clicks,185.89598083496094,52.0,25408.42578125,20.0,25.0,2.0,15.666666666666666,win_logs
wl_mutes,167.8096923828125,224.0,24847.291015625,25.0,19.0,3.0,15.666666666666666,win_logs
ci_hh_score,228.25296020507812,489.0,5834.51220703125,14.0,9.0,25.0,16.0,cost_impression_log
wl_n_adv,170.8605499267578,757.0,8866.8193359375,24.0,4.0,21.0,16.333333333333332,win_logs
ci_n_vendors,217.7182159423828,237.0,10467.630859375,17.0,18.0,16.0,17.0,cost_impression_log
wl_pauses,158.29676818847656,77.0,29743.9453125,27.0,23.0,1.0,17.0,win_logs
bae_lg,224.15037536621094,65.0,10481.8857421875,15.0,24.0,15.0,18.0,bidder_auction_events
wl_n_makes,186.38694763183594,351.0,8745.8154296875,19.0,14.0,22.0,18.333333333333332,win_logs
bae_samsung,292.4748840332031,42.0,5965.544921875,6.0,26.0,24.0,18.666666666666668,bidder_auction_events
wl_n_wins,145.78639221191406,929.0,5405.96923828125,28.0,2.0,27.0,19.0,win_logs
wl_vcr,174.33395385742188,347.0,5489.646484375,22.0,15.0,26.0,21.0,win_logs
wl_viewable,166.54510498046875,116.0,10092.5849609375,26.0,22.0,17.0,21.666666666666668,win_logs
bae_roku,218.13607788085938,34.0,3314.1748046875,16.0,27.0,28.0,23.666666666666668,bidder_auction_events
wl_measurable,178.79733276367188,28.0,8032.93603515625,21.0,28.0,23.0,24.0,win_logs
