pre_has_pp,post_has_pp,pre_has_ds2,post_has_ds2,n_advertisers,pre_spend,post_spend
false,false,true,true,526,1941991,1824042
false,false,false,false,483,344417,382950
false,false,true,false,248,462407,344890
false,false,false,true,138,142273,221304
true,true,true,true,118,473243,454420
,false,,false,53,40781,0
false,true,false,true,45,9006,54617
false,true,false,false,44,12538,29195
true,false,true,false,41,48546,6184
true,true,true,false,39,56202,48969
false,true,true,true,33,106327,105062
true,false,true,true,31,163870,157550
false,,false,,31,0,13178
false,true,true,false,13,49164,42454
true,true,false,false,11,1227,931
true,true,false,true,3,337,456
true,false,false,false,3,1943,0
