audience_id,advertiser_id,user_id,name,n_audiences_by_user,name_class,n_distinct_ds_ids,ds_ids_present_str,expr_class
61114,45027,138498,Renamed-5:23pm-R9816-2611-5iy0q6,417,name_other,2,"13,19",expr_pure_pp
66202,45027,138498,Renamed-2:06pm-R9739-1848-izztiw,417,name_other,2,"13,19",expr_pure_pp
51150,32404,122462,Pause Ads - Brand KeyStates UGRAD 3P + Keywords 10.15.2025,280,name_other,5,"1,4,13,19,35",expr_heavily_layered
56714,36426,143554,KG Redlands PRO-Jan 26-InMarket Ford/RAM /GM Trucks/SUV/NLx,7,name_other,4,"1,13,19,35",expr_layered
64688,58934,153916,Live GO Ad,4,name_other,2,"13,19",expr_pure_pp
73309,60174,131318,Vancouver Avails,55,name_other,4,"13,18,19,35",expr_layered
43051,41034,133484,MNTN Matched - Keywords [IN],9,name_other,4,"1,13,19,35",expr_layered
64785,49867,144495,Homeowners 2,1,name_other,2,"13,19",expr_pure_pp
74477,45027,138498,Edit Test-6:30am-R0099-6186-gv7g7l,417,name_other,3,"13,19,35",expr_layered
52194,37532,122754,Wilds Winter Audience,2,name_other,2,"13,19",expr_pure_pp
55557,38588,129497,Kitchen and Bath 2026 v.1,4,name_other,5,"13,17,18,19,35",expr_heavily_layered
53863,38790,122462,Prospecting  - MNTN Matched - 11/17 Copy 01,280,name_other,3,"4,13,19",expr_layered
51104,48687,142955,Pain,3,name_other,4,"13,18,19,35",expr_layered
53304,45027,138498,Renamed 5:18am-7578,417,name_other,2,"13,19",expr_pure_pp
71183,61625,150132,Mazzer Proposal,1,name_other,3,"13,19,35",expr_layered
53640,45921,139671,WYCKOFF HOLIDAY P 25-44,216,name_other,2,"13,19",expr_pure_pp
71909,59049,157297,General Engagement ,1,name_other,2,"13,19",expr_pure_pp
57779,45027,138498,Renamed-2:52pm-4660-gax32r,417,name_other,2,"13,19",expr_pure_pp
52195,38220,113188,PG&E Electrification | General,3,name_other,3,"13,19,35",expr_layered
54721,49789,122462,Home Buyers ,280,name_other,5,"13,17,18,19,35",expr_heavily_layered
