week_start,n_cohort,n_pp_adopters,n_default_only,n_custom_only,n_both,n_unclassified,pct_pp_adopters,pct_default_only,pct_custom_only,pct_both,share_default_of_adopters,share_custom_of_adopters,share_both_of_adopters
2024-11-04,831,0,0,0,0,0,0.0,0.0,0.0,0.0,,,
2024-11-11,863,0,0,0,0,0,0.0,0.0,0.0,0.0,,,
2024-11-18,918,0,0,0,0,0,0.0,0.0,0.0,0.0,,,
2024-11-25,943,0,0,0,0,0,0.0,0.0,0.0,0.0,,,
2024-12-02,937,0,0,0,0,0,0.0,0.0,0.0,0.0,,,
2024-12-09,946,0,0,0,0,0,0.0,0.0,0.0,0.0,,,
2024-12-16,969,0,0,0,0,0,0.0,0.0,0.0,0.0,,,
2024-12-23,946,0,0,0,0,0,0.0,0.0,0.0,0.0,,,
2024-12-30,977,0,0,0,0,0,0.0,0.0,0.0,0.0,,,
2025-01-06,970,0,0,0,0,0,0.0,0.0,0.0,0.0,,,
2025-01-13,1006,0,0,0,0,0,0.0,0.0,0.0,0.0,,,
2025-01-20,1040,0,0,0,0,0,0.0,0.0,0.0,0.0,,,
2025-01-27,1079,0,0,0,0,0,0.0,0.0,0.0,0.0,,,
2025-02-03,1079,0,0,0,0,0,0.0,0.0,0.0,0.0,,,
2025-02-10,1136,0,0,0,0,0,0.0,0.0,0.0,0.0,,,
2025-02-17,1156,0,0,0,0,0,0.0,0.0,0.0,0.0,,,
2025-02-24,1213,0,0,0,0,0,0.0,0.0,0.0,0.0,,,
2025-03-03,1218,0,0,0,0,0,0.0,0.0,0.0,0.0,,,
2025-03-10,1284,0,0,0,0,0,0.0,0.0,0.0,0.0,,,
2025-03-17,1308,0,0,0,0,0,0.0,0.0,0.0,0.0,,,
2025-03-24,1333,0,0,0,0,0,0.0,0.0,0.0,0.0,,,
2025-03-31,1396,0,0,0,0,0,0.0,0.0,0.0,0.0,,,
2025-04-07,1340,0,0,0,0,0,0.0,0.0,0.0,0.0,,,
2025-04-14,1386,0,0,0,0,0,0.0,0.0,0.0,0.0,,,
2025-04-21,1403,0,0,0,0,0,0.0,0.0,0.0,0.0,,,
2025-04-28,1447,0,0,0,0,0,0.0,0.0,0.0,0.0,,,
