advertiser_id,vvs_base,vvs_post,convs_base,convs_post,spend_base,spend_post,ov_base,ov_post,conv_rate_base,conv_rate_post,delta_conv_rate_rel,roas_base,roas_post,delta_roas_rel,aov_base,aov_post,delta_aov_rel,pp_share_base,pp_share_post,delta_pp_share,is_pp_new_adopter,is_pp_continuing,is_non_adopter
42493,310683,141658,8,2,2342.802589,1204.641923,0,0,2.5749719167125334E-5,1.411851077948298E-5,-0.45170233943723614,0,0,,0,0,,0.0,0.9134817659433283,0.9134817659433283,true,false,false
44418,118161,2157,0,0,1099.822534,18.597497,0,0,0.0,0.0,,0,0,,,,,0.0,0.9082058414464534,0.9082058414464534,true,false,false
38294,172521,94684,0,1,1265.347733,789.362004,0,0,0.0,1.0561446495712052E-5,,0,0,,,0,,0.0,0.8725972709222255,0.8725972709222255,true,false,false
40329,485424,272354,8,0,3412.109401,1607.254018,0,0,1.6480437720425855E-5,0.0,-1.0,0,0,,0,,,0.0,0.866064019621522,0.866064019621522,true,false,false
40295,172321,176146,3,3,1205.21868,1051.215752,0,0,1.7409369722784803E-5,1.703132628614899E-5,-0.02171494101484006,0,0,,0,0,,0.0,0.8643568403483474,0.8643568403483474,true,false,false
40268,1353573,666901,33,15,12134.539212,5657.559206,0,0,2.437991892568779E-5,2.2492094028948826E-5,-0.07743360027132273,0,0,,0,0,,0.0,0.8626962622638142,0.8626962622638142,true,false,false
40157,140645,28372,1,0,1364.195779,254.31732,71.25,0,7.110099896903552E-6,0.0,-1.0,0.052228574,0,-1,71.25,,,0.0,0.8546454250669674,0.8546454250669674,true,false,false
44489,1989068,1302023,255,69,17866.83307,11509.971428,0,0,1.2820074527366586E-4,5.2994455551092415E-5,-0.5866291148466656,0,0,,0,0,,0.0,0.8514250516311924,0.8514250516311924,true,false,false
37129,3733510,369670,8187,361,34087.41886,3391.515777,709330.18,26612.77,0.002192842660124119,9.765466497146104E-4,-0.554666339052645,20.809149056,7.846866047,-0.62291269,86.641038231,73.719584488,-0.149137799,0.0,0.8503746584791841,0.8503746584791841,true,false,false
44553,283338,48998,7,9,2677.17575,453.041813,0,0,2.4705475439228058E-5,1.836809665700641E-4,6.434828243718403,0,0,,0,0,,0.0,0.8502387852565411,0.8502387852565411,true,false,false
