week_start,cohort,n_advertisers,n_with_roas,median_roas,p25_roas,p75_roas,spend_weighted_roas,total_spend
2025-07-28,new_adopter,153,153,0,0,9.453921851,29.652503573,230970.037764
2025-07-28,non_adopter,748,748,0,0,5.703669043,17.468944542,873741.888826
2025-08-04,new_adopter,161,161,0.526808392,0,8.9871073,29.710312689,550529.259695
2025-08-04,non_adopter,811,811,0,0,4.618173349,19.194211846,2123823.352922
2025-08-11,new_adopter,172,172,0.340309577,0,7.387209993,27.251061372,551456.111182
2025-08-11,non_adopter,850,850,0,0,4.317497343,20.228781815,2191415.155202
2025-08-18,new_adopter,174,174,0,0,8.770308986,26.578083394,552361.447681
2025-08-18,non_adopter,864,864,0,0,4.825778385,22.776170752,2189945.741715
2025-08-25,new_adopter,181,181,0,0,8.010102695,28.034439535,564726.352032
2025-08-25,non_adopter,875,875,0,0,5.076383468,20.233831844,2349686.346919
2025-09-01,new_adopter,181,181,0,0,5.913909364,28.177138564,520220.183707
2025-09-01,non_adopter,873,873,0,0,3.775484383,22.579345496,2108409.855261
2025-09-08,new_adopter,182,182,0,0,6.505902506,33.011725587,494831.323106
2025-09-08,non_adopter,887,887,0,0,3.422602881,23.134669461,2202408.002269
2025-09-15,new_adopter,186,186,0,0,5.915063222,31.461650423,525551.009494
2025-09-15,non_adopter,924,924,0,0,3.312260621,27.544646807,2334105.020865
2025-09-22,new_adopter,194,194,0,0,6.486741566,27.628235843,559315.288088
2025-09-22,non_adopter,941,941,0,0,3.295427507,27.965541346,2550441.730338
2025-09-29,new_adopter,195,195,0,0,7.032195209,33.209513883,505698.935831
2025-09-29,non_adopter,934,934,0,0,4.241136109,28.540803025,2336249.463329
2025-10-06,new_adopter,193,193,0.047027337,0,8.053344723,31.812996673,519577.652488
2025-10-06,non_adopter,923,923,0,0,5.049591642,26.411184664,2353459.175418
2025-10-13,new_adopter,197,197,0,0,6.199348917,26.814459106,600993.260991
2025-10-13,non_adopter,940,940,0,0,3.782069423,25.921451155,2576944.338509
2025-10-20,new_adopter,197,197,0,0,6.568131824,24.100991534,621569.232498
2025-10-20,non_adopter,934,934,0,0,3.890615429,26.888669716,2568508.858921
2025-10-27,new_adopter,196,196,0,0,5.900006839,24.741347126,738078.318722
2025-10-27,non_adopter,940,940,0,0,4.227369911,27.060201459,2797435.743589
2025-11-03,new_adopter,194,194,0,0,6.907243701,31.631149744,611247.049718
2025-11-03,non_adopter,921,921,0,0,4.58969512,29.364510177,2487883.730061
2025-11-10,new_adopter,197,197,0,0,7.947668005,31.568081899,662270.510983
2025-11-10,non_adopter,945,945,0,0,4.722485393,30.184627837,2615525.307624
2025-11-17,new_adopter,198,198,0,0,9.582553296,31.686321302,745287.779073
2025-11-17,non_adopter,967,967,0,0,5.940364555,28.335947781,2948697.634014
2025-11-24,new_adopter,202,202,0,0,12.632080499,43.207746728,925342.566037
2025-11-24,non_adopter,967,967,0,0,6.941781358,22.635906496,3610853.71269
2025-12-01,new_adopter,202,202,0,0,15.771348185,36.691871866,686633.753711
